id,name,description,unit_price,merchant_id,created_at,updated_at
263397201,Romantic coffee service &quot;Rüdesheimer Kaffee&quot;,"This is a romantic coffee service, made by HEINRICH.
It consists of
Coffee pot
Sugar pot
Bowl for candies
6 mugs
6 saucers

These are used items which are in very good condition. No chips, no scratches etc.
A recipe for the Rüdesheimer Kaffee will come along

I will ship worldwide, please ask for shipping costs to your country.",8000,12334235,2016-01-11 12:17:26 UTC,1988-06-26 02:51:02 UTC
263397313,Introspection virginalle,"Acrylique sur toile exécutée en 2009
Format : 50 x 61 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",60000,12334195,2016-01-11 11:30:35 UTC,1984-08-03 02:27:21 UTC
263397785,La prière,"Acrylique sur toile exécutée en 2012
Format : 50 x 65 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",65000,12334195,2016-01-11 11:30:34 UTC,1987-05-07 03:18:42 UTC
263397843,Wooden pen and stand,"Hand crafted wood pen made from T Tree
Various other woods available.

Red gum (SA)
Swan red gum (WA)
Blackwood (TAS)
Acacia (NT)
Forest red gum (TAS)
T Tree (TAS)

Other woods available on request

All pens are hand crafted and treated with local bees wax. These pens make great presents I can also have names etc lazier engraved for an extra $10.",4000,12334257,2016-01-11 11:44:00 UTC,2006-08-26 06:56:21 UTC
263397867,HOT Crystal Dragon Fly Hand Blown Glass Art Gold Trim Figurine Lucky Collection,"The 22k Pure Gold, Looks Like The Pure One, Not The Copper One.
It Is A Handmade Qualified Product.

BEST QUALITY
DESCRIPTION

Condition: New

Approx Size: W 1 1/8&quot;, L 2&quot;, H 2 1/2&quot;
Material: BLOWN GLASS",2390,12334315,2016-01-11 10:44:49 UTC,1990-01-16 20:45:14 UTC
263397919,Le câlin,"Acrylique sur toile exécutée en 2013
Format : 55 x 46 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",50000,12334195,2016-01-11 11:30:34 UTC,2003-12-04 18:17:19 UTC
263398079,HOT Dragon Wing Hand Blown Clear Glass Art Gold Trim Figurine Lucky Collection,"DESCRIPTION

Condition: New

Approx Size: W 1 5/8&quot;, L 1 1/2&quot;, H 2&quot;
Material: BLOWN GLASS Painted",2390,12334315,2016-01-11 10:44:49 UTC,2007-12-06 19:17:12 UTC
263398179,Le corps et la chauffeuse,"Acrylique sur toile exécutée en 2011
Format : 65 x 54 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",50000,12334195,2016-01-11 11:30:34 UTC,2007-01-06 13:55:19 UTC
263398203,"HandMade pillow cases,Sofa Cushion,decorative items.","This Handwoven Pillow made by kilim from Anatolia. It is coming from ragion of Sivas. All colour are naturel dyes. I collect these beautiful handmade items from different part of Turkey. I washed them and desined in my work shop with my colleague. You are going to receive same as in
This picture. This listing is just for pillow cases the insert is not incluted.



The exact size : 18x18 inches  ( 45x45 Cm)
Try Cleaning.


Shipping Detail:
After purches done i will send  by Fedex,UPS,DHL, shipping company.
it will take 3 to 5 business work days.
you will be informed with tracking number of shipment.

Payment... you can pay by paypal

Thanks for looking..",8000,12334183,2016-01-11 10:49:00 UTC,1997-01-23 15:10:53 UTC
263398227,HOT Dragon Head Turtle Hand Blown Glass Art Figurine Money Lucky Good Collect,"DESCRIPTION

Condition: New

Approx Size: W 1 3/4&quot;, L 2 3/4&quot;, H 1 1/2&quot;
Material: BLOWN GLASS",2390,12334315,2016-01-11 10:44:48 UTC,1978-02-09 20:42:46 UTC
263398307,L&#39;enlèvement,"Acrylique sur toile exécutée en 2015
Format : 60 x 40 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",55000,12334195,2016-01-11 11:30:33 UTC,2012-03-11 09:35:40 UTC
263398427,La rêveuse,"Acrylique sur toile exécutée en 2004
Format : 50 x 60 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",11900,12334195,2016-01-11 11:30:33 UTC,1994-09-19 05:14:05 UTC
263398653,Les raisons,"Acrylique sur toile exécutée en 2013
Format : 50 x 61 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",60000,12334195,2016-01-11 11:30:32 UTC,2003-11-03 02:36:18 UTC
